timestamp,load_type,catalog_time_ms,images_time_ms,total_time_ms,menu_ready_time_ms,product_count,network_type,device_tier
1760664550297,PARALLEL,330,8872,9205,9205,5,Wi-Fi,low
1760664593049,PARALLEL,61,3,67,67,5,Wi-Fi,low
1760664596995,PARALLEL,67,5,73,73,5,Wi-Fi,low
1760664600320,PARALLEL,283,4,288,288,5,Wi-Fi,low
1760664611039,PARALLEL,452,3,457,457,5,Wi-Fi,low
1760664790930,PARALLEL,205,6856,7065,7065,5,Wi-Fi,low
1760665225523,PARALLEL,259,8883,9146,9146,5,Wi-Fi,low
1760665366389,PARALLEL,198,4719,4919,4919,5,Wi-Fi,low
1760665736548,PARALLEL,111,5,123,123,5,Wi-Fi,low
1760666024694,PARALLEL,245,4805,5054,5054,5,Wi-Fi,low
1760664567082,SEQUENTIAL,91,1,197,91,5,Wi-Fi,low
1760664595107,SEQUENTIAL,107,1,210,107,5,Wi-Fi,low
1760664598717,SEQUENTIAL,72,1,264,72,5,Wi-Fi,low
1760664601585,SEQUENTIAL,57,4,162,57,5,Wi-Fi,low
1760664613317,SEQUENTIAL,305,3,391,305,5,Wi-Fi,low
1760665382269,SEQUENTIAL,80,5,199,80,5,Wi-Fi,low
